The Green Mile,1999,Frank Darabont,Tom Hanks|David Morse,8.6
The Shawshank Redemption,1994,Frank Darabont,Tim Robbins|Morgan Freeman,8.8
Forrest Gump,1994,Robert Zemeckis,Tom Hanks|Robin Wright,8.5
Léon,1994,Luc Besson,Jean Reno|Gary Oldman,8.1
Requiem for a Dream,2000,Darren Aronofsky,Ellen Burstyn|Jared Leto,7.8
The Matrix,1999,Lilly Wachowski,Keanu Reeves|Laurence Fishburne,7.5
The Silence of the Lambs,1991,Jonathan Demme,Anthony Hopkins|Jodie Foster,8.2
Gladiator,2000,Ridley Scott,Russell Crowe|Joaquin Phoenix,8.1
Avatar,2009,James Cameron,Sam Worthington|Zoe Saldana,7.4
Shrek,2001,Andrew Adamson,None,7.8
Saving Private Ryan,1998,Steven Spielberg,Tom Hanks|Tom Sizemore,8.1
Fight Club,1999,David Fincher,Edward Norton|Brad Pitt,8.3
Titanic,1997,James Cameron,Leonardo DiCaprio|Kate Winslet,7.3
Pulp Fiction,1994,Quentin Tarantino,John Travolta|Samuel L. Jackson,8.3
The Sixth Sense,1999,M. Night Shyamalan,Bruce Willis|Haley Joel Osment,7.8
Intouchables,2011,Olivier Nakache,François Cluzet|Omar Sy,8.7
The Godfather,1972,Francis Ford Coppola,Marlon Brando|Al Pacino,8.6
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,Johnny Depp|Geoffrey Rush,7.7
Shutter Island,2010,Martin Scorsese,Leonardo DiCaprio|Mark Ruffalo,8.2
Inception,2010,Christopher Nolan,Leonardo DiCaprio|Joseph Gordon-Levitt,8.3
The Hangover,2009,Todd Phillips,Bradley Cooper|Ed Helms,7.3
Se7en,1995,David Fincher,Morgan Freeman|Brad Pitt,8.3
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,Elijah Wood|Sean Astin,8.0
The Pianist,2002,Roman Polanski,Adrien Brody|Thomas Kretschmann,8.3
Seven Pounds,2008,Gabriele Muccino,Will Smith|Rosario Dawson,8.0
Inglourious Basterds,2009,Quentin Tarantino,Brad Pitt|Mélanie Laurent,8.0
Slumdog Millionaire,2008,Danny Boyle,Dev Patel|Freida Pinto,7.4
A Beautiful Mind,2001,Ron Howard,Russell Crowe|Jennifer Connelly,8.3
Schindler's List,1993,Steven Spielberg,Liam Neeson|Ben Kingsley,8.4
Cast Away,2000,Robert Zemeckis,Tom Hanks|Helen Hunt,7.5
Seksmisja,1983,Juliusz Machulski,Jerzy Stuhr|Olgierd Lukaszewicz,7.8
American Beauty,1999,Sam Mendes,Kevin Spacey|Annette Bening,7.6
Dzien swira,2002,Marek Koterski,Marek Kondrat|Janina Traczykowna,7.8
The Curious Case of Benjamin Button,2008,David Fincher,Brad Pitt|Cate Blanchett,7.7
The Butterfly Effect,2004,J. Mackye Gruber,Ashton Kutcher|Amy Smart,7.8
One Flew Over the Cuckoo's Nest,1975,Miloš Forman,Jack Nicholson|Louise Fletcher,8.5
The Da Vinci Code,2006,Ron Howard,Tom Hanks|Audrey Tautou,6.7
Gran Torino,2008,Clint Eastwood,Clint Eastwood|Christopher Carley,8.2
The Shining,1980,Stanley Kubrick,Jack Nicholson|Shelley Duvall,7.8
Django Unchained,2012,Quentin Tarantino,Jamie Foxx|Christoph Waltz,8.3
The Dark Knight,2008,Christopher Nolan,Christian Bale|Heath Ledger,8.0
The Truman Show,1998,Peter Weir,Jim Carrey|Laura Linney,7.4
The Lion King,1994,Rob Minkoff,None,8.2
Scent of a Woman,1992,Martin Brest,Al Pacino|Chris O'Donnell,8.1
The Devil's Advocate,1997,Taylor Hackford,Keanu Reeves|Al Pacino,7.9
The Prestige,2006,Christopher Nolan,Hugh Jackman|Christian Bale,8.1
The Boy in the Striped Pyjamas,2008,Mark Herman,Asa Butterfield|Jack Scanlon,8.1
The Wolf of Wall Street,2013,Martin Scorsese,Leonardo DiCaprio|Jonah Hill,7.7
I Am Legend,2007,Francis Lawrence,Will Smith|Alice Braga,7.5
The Lord of the Rings: The Return of the King,2003,Peter Jackson,Elijah Wood|Sean Astin,8.4
American History X,1998,Tony Kaye,Edward Norton|Edward Furlong,8.2
Sherlock Holmes,2009,Guy Ritchie,Robert Downey Jr.|Jude Law,7.7
Edward Scissorhands,1990,Tim Burton,Johnny Depp|Winona Ryder,7.7
The Lord of the Rings: The Two Towers,2002,Peter Jackson,Elijah Wood|Sean Astin,8.3
The Departed,2006,Martin Scorsese,Leonardo DiCaprio|Matt Damon,8.0
Interstellar,2014,Christopher Nolan,Matthew McConaughey|Anne Hathaway,7.9
Bruce Almighty,2003,Tom Shadyac,Jim Carrey|Morgan Freeman,6.9
What's Eating Gilbert Grape,1993,Lasse Hallström,Johnny Depp|Leonardo DiCaprio,7.8
Dead Poets Society,1989,Peter Weir,Robin Williams|Robert Sean Leonard,7.8
Ice Age,2002,Chris Wedge,None,7.6
Braveheart,1995,Mel Gibson,Mel Gibson|Sophie Marceau,8.1
Into the Wild,2007,Sean Penn,Emile Hirsch|Vince Vaughn,7.9
La vita è bella,1997,Roberto Benigni,Roberto Benigni|Nicoletta Braschi,8.4
The Notebook,2004,Nick Cassavetes,Ryan Gosling|Rachel McAdams,8.1
