Descendants 3,2019,Kenny Ortega,Dove Cameron|Cameron Boyce|Sofia Carson|Booboo Stewart,6.7
Nastepcy,2015,Kenny Ortega,Dove Cameron|Cameron Boyce|Booboo Stewart|Sofia Carson,6.4
High School Musical,2006,Kenny Ortega,Zac Efron|Vanessa Hudgens|Ashley Tisdale|Lucas Grabeel,5.3
Ivanhoe,1982,Douglas Camfield,James Mason|Anthony Andrews|Sam Neill|Michael Hordern,6.7
The Star Wars Holiday Special,1978,Steve Binder,David Acomba|Mickey Morton|Patty Maloney|Mark Hamill|Harrison Ford,2.1
Torvill & Dean,2018,Gillies MacKinnon,Cassie Bradley|Dean Andrews|Annabelle Apsion|Mark Benton,6.3
How High 2,2019,Bruce Leddy,Mike Epps|Alyssa Goss|Anya Monzikova|D.C. Young Fly,2.8
The Small Hand,2019,Justin Molotnikov,Douglas Henshall|Louise Lombard|Adrian Rawlins|Cal MacAninch,4.1
Kevin sam w domu 4,2002,Rod Daniel,French Stewart|Erick Avari|Barbara Babcock|Jason Beghe,2.6
Wonder Woman,2011,Jeffrey Reiner,Pedro Pascal|Cary Elwes|Adrianne Palicki|Elizabeth Hurley,4.4
Nastepcy 2,2017,Kenny Ortega,Dove Cameron|Cameron Boyce|Sofia Carson|Booboo Stewart,6.5
Deadwood,2019,Daniel Minahan,Timothy Olyphant|Ian McShane|Molly Parker|Paula Malcomson,7.5
Christmas on My Mind,2019,Maclain Nelson,Ashley Greene|Andrew W. Walker|Jackée Harry|Donna Benedicto,6.5
Picture a Perfect Christmas,2019,Paul Ziller,Merritt Patterson|Jon Cor|Luke Roessler|Paula Shaw,6.9
Christmas at Graceland: Home for the Holidays,2019,Eric Close,Kaitlin Doubleday|Adrian Grenier|Sunny Mabrey|Alan Wells,6.4
Famous and Fatal,2019,Daniel Ringey,Sarah Roemer|Jon Prescott|Hannah Barefoot|Adrian Gaeta,5.7
Check Inn to Christmas,2019,Sam Irvin,Rachel Boston|Wes Brown|Richard Karn|Christopher Cousins,6.8
The Christmas Club,2019,Jeff Beesley,Elizabeth Mitchell|Cameron Mathison|Zoe Fish|Jennifer Pudavick,6.8
Christmas Coach,2019,Marita Grabiak,Erica Deutschman|Chad Connell|Jennifer Vallance|Tianna Nori,5.0
A Christmas Love Story,2019,Eric Close,Kristin Chenoweth|Scott Wolf|Kevin Quinn|Keith Robinson,7.1
Opowiesc wigilijna,1984,Clive Donner,George C. Scott|Frank Finlay|Angela Pleasence|Edward Woodward,7.8
